nohup: ignoring input
pygame 2.1.2 (SDL 2.0.16, Python 3.7.13)
Hello from the pygame community. https://www.pygame.org/contribute.html
Successfully set seed to 1
Ep: 60 | Ep_r: 16.71 | t_so_far: {1394} | epsilon: 0.252 max: 38.459999999999994
Ep: 61 | Ep_r: 13.8 | t_so_far: {1397} | epsilon: 0.253 max: 38.459999999999994
Ep: 62 | Ep_r: 15.71 | t_so_far: {1425} | epsilon: 0.255 max: 38.459999999999994
Ep: 63 | Ep_r: 14.32 | t_so_far: {1436} | epsilon: 0.257 max: 38.459999999999994
Ep: 64 | Ep_r: 14.34 | t_so_far: {1452} | epsilon: 0.258 max: 38.459999999999994
Ep: 65 | Ep_r: 13.24 | t_so_far: {1462} | epsilon: 0.259 max: 38.459999999999994
Ep: 66 | Ep_r: 11.74 | t_so_far: {1469} | epsilon: 0.26 max: 38.459999999999994
Ep: 67 | Ep_r: 11.88 | t_so_far: {1483} | epsilon: 0.261 max: 38.459999999999994
Ep: 68 | Ep_r: 10.08 | t_so_far: {1487} | epsilon: 0.262 max: 38.459999999999994
Ep: 69 | Ep_r: 14.07 | t_so_far: {1522} | epsilon: 0.265 max: 38.459999999999994
Ep: 70 | Ep_r: 12.85 | t_so_far: {1532} | epsilon: 0.266 max: 38.459999999999994
Ep: 71 | Ep_r: 10.75 | t_so_far: {1535} | epsilon: 0.266 max: 38.459999999999994
Ep: 72 | Ep_r: 17.2 | t_so_far: {1585} | epsilon: 0.271 max: 38.459999999999994
Ep: 73 | Ep_r: 16.5 | t_so_far: {1600} | epsilon: 0.273 max: 38.459999999999994
Ep: 74 | Ep_r: 21.4 | t_so_far: {1650} | epsilon: 0.277 max: 38.459999999999994
Ep: 75 | Ep_r: 23.25 | t_so_far: {1683} | epsilon: 0.281 max: 38.459999999999994
Ep: 76 | Ep_r: 20.24 | t_so_far: {1692} | epsilon: 0.281 max: 38.459999999999994
Ep: 77 | Ep_r: 17.34 | t_so_far: {1699} | epsilon: 0.282 max: 38.459999999999994
Ep: 78 | Ep_r: 16.21 | t_so_far: {1713} | epsilon: 0.283 max: 38.459999999999994
Ep: 79 | Ep_r: 15.16 | t_so_far: {1726} | epsilon: 0.285 max: 38.459999999999994
Ep: 80 | Ep_r: 12.56 | t_so_far: {1729} | epsilon: 0.285 max: 38.459999999999994
Ep: 81 | Ep_r: 12.6 | t_so_far: {1744} | epsilon: 0.286 max: 38.459999999999994
Ep: 82 | Ep_r: 11.28 | t_so_far: {1751} | epsilon: 0.287 max: 38.459999999999994
Ep: 83 | Ep_r: 11.94 | t_so_far: {1768} | epsilon: 0.289 max: 38.459999999999994
Ep: 84 | Ep_r: 11.96 | t_so_far: {1781} | epsilon: 0.29 max: 38.459999999999994
Ep: 85 | Ep_r: 10.2 | t_so_far: {1785} | epsilon: 0.29 max: 38.459999999999994
Ep: 86 | Ep_r: 8.95 | t_so_far: {1790} | epsilon: 0.291 max: 38.459999999999994
Ep: 87 | Ep_r: 8.78 | t_so_far: {1800} | epsilon: 0.292 max: 38.459999999999994
Ep: 88 | Ep_r: 10.52 | t_so_far: {1820} | epsilon: 0.294 max: 38.459999999999994
Ep: 89 | Ep_r: 8.87 | t_so_far: {1823} | epsilon: 0.294 max: 38.459999999999994
Ep: 90 | Ep_r: 12.4 | t_so_far: {1853} | epsilon: 0.297 max: 38.459999999999994
Ep: 91 | Ep_r: 15.33 | t_so_far: {1885} | epsilon: 0.3 max: 38.459999999999994
Ep: 92 | Ep_r: 20.35 | t_so_far: {1935} | epsilon: 0.304 max: 38.459999999999994
Ep: 93 | Ep_r: 16.88 | t_so_far: {1939} | epsilon: 0.305 max: 38.459999999999994
Ep: 94 | Ep_r: 18.45 | t_so_far: {1969} | epsilon: 0.307 max: 38.459999999999994
Ep: 95 | Ep_r: 20.13 | t_so_far: {1999} | epsilon: 0.31 max: 38.459999999999994
Ep: 96 | Ep_r: 24.24 | t_so_far: {2049} | epsilon: 0.315 max: 38.459999999999994
Ep: 97 | Ep_r: 21.49 | t_so_far: {2062} | epsilon: 0.316 max: 38.459999999999994
Ep: 98 | Ep_r: 25.42 | t_so_far: {2112} | epsilon: 0.321 max: 38.459999999999994
Ep: 99 | Ep_r: 28.88 | t_so_far: {2162} | epsilon: 0.325 max: 38.459999999999994
Ep: 100 | Ep_r: 31.66 | t_so_far: {2212} | epsilon: 0.33 max: 38.459999999999994
Ep: 101 | Ep_r: 33.58 | t_so_far: {2262} | epsilon: 0.334 max: 38.459999999999994
Ep: 102 | Ep_r: 34.64 | t_so_far: {2312} | epsilon: 0.338 max: 38.459999999999994
Ep: 103 | Ep_r: 34.07 | t_so_far: {2352} | epsilon: 0.342 max: 38.459999999999994
Ep: 104 | Ep_r: 28.22 | t_so_far: {2358} | epsilon: 0.342 max: 38.459999999999994
Ep: 105 | Ep_r: 23.2 | t_so_far: {2362} | epsilon: 0.343 max: 38.459999999999994
Ep: 106 | Ep_r: 19.36 | t_so_far: {2367} | epsilon: 0.343 max: 38.459999999999994
Ep: 107 | Ep_r: 17.6 | t_so_far: {2380} | epsilon: 0.344 max: 38.459999999999994
Ep: 108 | Ep_r: 22.19 | t_so_far: {2430} | epsilon: 0.349 max: 38.459999999999994
Ep: 109 | Ep_r: 21.07 | t_so_far: {2449} | epsilon: 0.35 max: 38.459999999999994
Ep: 110 | Ep_r: 24.93 | t_so_far: {2499} | epsilon: 0.355 max: 38.459999999999994
Ep: 111 | Ep_r: 21.31 | t_so_far: {2508} | epsilon: 0.355 max: 38.459999999999994
Ep: 112 | Ep_r: 17.71 | t_so_far: {2512} | epsilon: 0.356 max: 38.459999999999994
Ep: 113 | Ep_r: 15.9 | t_so_far: {2522} | epsilon: 0.357 max: 38.459999999999994
Ep: 114 | Ep_r: 20.76 | t_so_far: {2572} | epsilon: 0.361 max: 38.459999999999994
Ep: 115 | Ep_r: 17.56 | t_so_far: {2578} | epsilon: 0.361 max: 38.459999999999994
Ep: 116 | Ep_r: 22.14 | t_so_far: {2628} | epsilon: 0.366 max: 38.459999999999994
Ep: 117 | Ep_r: 19.95 | t_so_far: {2643} | epsilon: 0.367 max: 38.459999999999994
Ep: 118 | Ep_r: 18.58 | t_so_far: {2659} | epsilon: 0.368 max: 38.459999999999994
Ep: 119 | Ep_r: 20.76 | t_so_far: {2694} | epsilon: 0.371 max: 38.459999999999994
Ep: 120 | Ep_r: 17.88 | t_so_far: {2702} | epsilon: 0.372 max: 38.459999999999994
Ep: 121 | Ep_r: 15.28 | t_so_far: {2708} | epsilon: 0.372 max: 38.459999999999994
Ep: 122 | Ep_r: 18.27 | t_so_far: {2746} | epsilon: 0.376 max: 38.459999999999994
Ep: 123 | Ep_r: 20.66 | t_so_far: {2781} | epsilon: 0.378 max: 38.459999999999994
Ep: 124 | Ep_r: 21.3 | t_so_far: {2810} | epsilon: 0.381 max: 38.459999999999994
Ep: 125 | Ep_r: 17.69 | t_so_far: {2814} | epsilon: 0.381 max: 38.459999999999994
Ep: 126 | Ep_r: 17.7 | t_so_far: {2834} | epsilon: 0.383 max: 38.459999999999994
Ep: 127 | Ep_r: 21.26 | t_so_far: {2878} | epsilon: 0.386 max: 38.459999999999994
Ep: 128 | Ep_r: 19.12 | t_so_far: {2890} | epsilon: 0.387 max: 38.459999999999994
Ep: 129 | Ep_r: 16.21 | t_so_far: {2896} | epsilon: 0.388 max: 38.459999999999994
Ep: 130 | Ep_r: 15.87 | t_so_far: {2914} | epsilon: 0.389 max: 38.459999999999994
Ep: 131 | Ep_r: 19.32 | t_so_far: {2950} | epsilon: 0.392 max: 38.459999999999994
Ep: 132 | Ep_r: 18.33 | t_so_far: {2967} | epsilon: 0.394 max: 38.459999999999994
Ep: 133 | Ep_r: 22.35 | t_so_far: {3017} | epsilon: 0.398 max: 38.459999999999994
Ep: 134 | Ep_r: 18.28 | t_so_far: {3020} | epsilon: 0.398 max: 38.459999999999994
Ep: 135 | Ep_r: 16.44 | t_so_far: {3031} | epsilon: 0.399 max: 38.459999999999994
Ep: 136 | Ep_r: 13.96 | t_so_far: {3036} | epsilon: 0.399 max: 38.459999999999994
Ep: 137 | Ep_r: 17.17 | t_so_far: {3075} | epsilon: 0.402 max: 38.459999999999994
Ep: 138 | Ep_r: 20.04 | t_so_far: {3114} | epsilon: 0.405 max: 38.459999999999994
Ep: 139 | Ep_r: 24.0 | t_so_far: {3164} | epsilon: 0.409 max: 38.459999999999994
Ep: 140 | Ep_r: 21.55 | t_so_far: {3178} | epsilon: 0.41 max: 38.459999999999994
Ep: 141 | Ep_r: 25.43 | t_so_far: {3228} | epsilon: 0.414 max: 38.459999999999994
Ep: 142 | Ep_r: 23.92 | t_so_far: {3249} | epsilon: 0.416 max: 38.459999999999994
Ep: 143 | Ep_r: 20.51 | t_so_far: {3257} | epsilon: 0.417 max: 38.459999999999994
Ep: 144 | Ep_r: 17.3 | t_so_far: {3263} | epsilon: 0.417 max: 38.459999999999994
Ep: 145 | Ep_r: 22.04 | t_so_far: {3313} | epsilon: 0.421 max: 38.459999999999994
Ep: 146 | Ep_r: 20.33 | t_so_far: {3329} | epsilon: 0.422 max: 38.459999999999994
Ep: 147 | Ep_r: 17.06 | t_so_far: {3334} | epsilon: 0.423 max: 38.459999999999994
Ep: 148 | Ep_r: 14.11 | t_so_far: {3337} | epsilon: 0.423 max: 38.459999999999994
Ep: 149 | Ep_r: 15.32 | t_so_far: {3360} | epsilon: 0.425 max: 38.459999999999994
Ep: 150 | Ep_r: 19.26 | t_so_far: {3400} | epsilon: 0.428 max: 38.459999999999994
Ep: 151 | Ep_r: 16.71 | t_so_far: {3409} | epsilon: 0.428 max: 38.459999999999994
Ep: 152 | Ep_r: 16.85 | t_so_far: {3430} | epsilon: 0.43 max: 38.459999999999994
Ep: 153 | Ep_r: 14.98 | t_so_far: {3439} | epsilon: 0.431 max: 38.459999999999994
Ep: 154 | Ep_r: 13.5 | t_so_far: {3448} | epsilon: 0.431 max: 38.459999999999994
