nohup: ignoring input
pygame 2.1.2 (SDL 2.0.16, Python 3.7.13)
Hello from the pygame community. https://www.pygame.org/contribute.html
Successfully set seed to 1
Ep: 60 | Ep_r: 19.86 | t_so_far: {1373} | epsilon: 0.25 max: 34.55733333333333
Ep: 61 | Ep_r: 20.46 | t_so_far: {1399} | epsilon: 0.253 max: 34.55733333333333
Ep: 62 | Ep_r: 25.06 | t_so_far: {1449} | epsilon: 0.258 max: 34.55733333333333
Ep: 63 | Ep_r: 20.9 | t_so_far: {1454} | epsilon: 0.258 max: 34.55733333333333
Ep: 64 | Ep_r: 16.96 | t_so_far: {1456} | epsilon: 0.259 max: 34.55733333333333
Ep: 65 | Ep_r: 15.35 | t_so_far: {1466} | epsilon: 0.26 max: 34.55733333333333
Ep: 66 | Ep_r: 12.72 | t_so_far: {1469} | epsilon: 0.26 max: 34.55733333333333
Ep: 67 | Ep_r: 13.66 | t_so_far: {1488} | epsilon: 0.262 max: 34.55733333333333
Ep: 68 | Ep_r: 12.29 | t_so_far: {1496} | epsilon: 0.262 max: 34.55733333333333
Ep: 69 | Ep_r: 12.05 | t_so_far: {1510} | epsilon: 0.264 max: 34.55733333333333
Ep: 70 | Ep_r: 13.67 | t_so_far: {1536} | epsilon: 0.266 max: 34.55733333333333
Ep: 71 | Ep_r: 14.83 | t_so_far: {1559} | epsilon: 0.269 max: 34.55733333333333
Ep: 72 | Ep_r: 16.8 | t_so_far: {1589} | epsilon: 0.272 max: 34.55733333333333
Ep: 73 | Ep_r: 16.74 | t_so_far: {1608} | epsilon: 0.273 max: 34.55733333333333
Ep: 74 | Ep_r: 21.38 | t_so_far: {1658} | epsilon: 0.278 max: 34.55733333333333
Ep: 75 | Ep_r: 23.42 | t_so_far: {1697} | epsilon: 0.282 max: 34.55733333333333
Ep: 76 | Ep_r: 27.65 | t_so_far: {1747} | epsilon: 0.287 max: 34.55733333333333
Ep: 77 | Ep_r: 23.1 | t_so_far: {1753} | epsilon: 0.287 max: 34.55733333333333
Ep: 78 | Ep_r: 19.24 | t_so_far: {1758} | epsilon: 0.288 max: 34.55733333333333
Ep: 79 | Ep_r: 16.17 | t_so_far: {1763} | epsilon: 0.288 max: 34.55733333333333
Ep: 80 | Ep_r: 13.6 | t_so_far: {1767} | epsilon: 0.289 max: 34.55733333333333
Ep: 81 | Ep_r: 13.64 | t_so_far: {1782} | epsilon: 0.29 max: 34.55733333333333
Ep: 82 | Ep_r: 12.53 | t_so_far: {1791} | epsilon: 0.291 max: 34.55733333333333
Ep: 83 | Ep_r: 17.1 | t_so_far: {1835} | epsilon: 0.295 max: 34.55733333333333
Ep: 84 | Ep_r: 16.4 | t_so_far: {1850} | epsilon: 0.296 max: 34.55733333333333
Ep: 85 | Ep_r: 19.56 | t_so_far: {1887} | epsilon: 0.3 max: 34.55733333333333
Ep: 86 | Ep_r: 23.67 | t_so_far: {1937} | epsilon: 0.305 max: 34.55733333333333
Ep: 87 | Ep_r: 22.99 | t_so_far: {1961} | epsilon: 0.307 max: 34.55733333333333
Ep: 88 | Ep_r: 26.51 | t_so_far: {2011} | epsilon: 0.311 max: 34.55733333333333
Ep: 89 | Ep_r: 29.04 | t_so_far: {2061} | epsilon: 0.316 max: 34.55733333333333
Ep: 90 | Ep_r: 31.14 | t_so_far: {2111} | epsilon: 0.32 max: 34.55733333333333
